[run number],number-of-voters,minority-fraction,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,marginal-pivotality,variance-of-perceived-pivotality,limit-votes?,payoff-include-votes-cost?,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
165,40,0,0,6,10,1,0.5,0.04,FALSE,FALSE,1p1v,1000,0.79,23.63304726,29.20648681,-0.146,6.19524536,0.807
167,40,0,0,6,10,1,0.5,0.05,FALSE,FALSE,1p1v,1000,0.799,24.95149833,29.72164347,0.028,6.448627823,0.817
166,40,0,0,6,10,1,0.5,0.04,FALSE,FALSE,QV,1000,0.862,28.0728832,26.13836752,-0.184321132,20.48904936,0.8
169,40,0,0,6,10,1,0.5,0.06,FALSE,FALSE,1p1v,1000,0.795,23.40645333,28.60726842,-0.236,6.237243558,0.814
168,40,0,0,6,10,1,0.5,0.05,FALSE,FALSE,QV,1000,0.881,28.68586658,25.22449953,-1.253204518,21.00058487,0.799
171,40,0,0,6,10,1,0.5,0.07,FALSE,FALSE,1p1v,1000,0.8,23.95883114,28.97310553,0.276,6.394741333,0.809
170,40,0,0,6,10,1,0.5,0.06,FALSE,FALSE,QV,1000,0.846,26.77126179,27.16453547,0.819307273,21.81606317,0.799
173,40,0,0,6,10,1,0.5,0.08,FALSE,FALSE,1p1v,1000,0.808,25.31807821,29.60123202,-0.04,6.288238381,0.82
172,40,0,0,6,10,1,0.5,0.07,FALSE,FALSE,QV,1000,0.829,25.6623609,26.67176473,-1.734591753,20.67214472,0.8
175,40,0,0,6,10,1,0.5,0.083,FALSE,FALSE,1p1v,1000,0.779,23.79262075,29.64725166,0.118,6.468378152,0.788
174,40,0,0,6,10,1,0.5,0.08,FALSE,FALSE,QV,1000,0.855,26.49730061,26.17791757,0.599044724,21.65986046,0.804
177,50,0,0,3,10,1,0.5,3.00E-04,FALSE,FALSE,1p1v,1000,0.806,13.42234756,15.81016831,0.008,7.004069745,0.8
176,40,0,0,6,10,1,0.5,0.083,FALSE,FALSE,QV,1000,0.834,27.4778941,28.4630019,-0.203314119,22.62493558,0.824
178,50,0,0,3,10,1,0.5,3.00E-04,FALSE,FALSE,QV,1000,0.994,16.84525446,13.14712299,0.415619623,10.67305965,0.8
179,50,0,0,3,10,1,0.5,0.001,FALSE,FALSE,1p1v,1000,0.802,13.79990677,16.26245184,0.058,7.210313767,0.815
181,50,0,0,3,10,1,0.5,0.01,FALSE,FALSE,1p1v,1000,0.776,13.50833713,16.84602321,-0.238,6.985997435,0.784
180,50,0,0,3,10,1,0.5,0.001,FALSE,FALSE,QV,1000,0.974,17.31915146,12.71172856,0.360817575,10.7766541,0.789
183,50,0,0,3,10,1,0.5,0.02,FALSE,FALSE,1p1v,1000,0.789,13.24669655,16.30169106,-0.152,7.036647668,0.79
182,50,0,0,3,10,1,0.5,0.01,FALSE,FALSE,QV,1000,0.946,16.31403089,12.63046124,-0.511480239,10.48359997,0.795
185,50,0,0,3,10,1,0.5,0.03,FALSE,FALSE,1p1v,1000,0.799,13.24486252,16.6927969,0.016,7.012054828,0.811
184,50,0,0,3,10,1,0.5,0.02,FALSE,FALSE,QV,1000,0.932,17.03736603,13.70348909,0.465832083,11.42336837,0.819
186,50,0,0,3,10,1,0.5,0.03,FALSE,FALSE,QV,1000,0.88,15.30486306,13.19283197,0.196973804,10.83557998,0.789
187,50,0,0,3,10,1,0.5,0.04,FALSE,FALSE,1p1v,1000,0.789,13.39328986,16.25809338,-0.544,7.137717493,0.791
189,50,0,0,3,10,1,0.5,0.05,FALSE,FALSE,1p1v,1000,0.774,12.76066289,16.21619942,0.052,7.148734182,0.781
188,50,0,0,3,10,1,0.5,0.04,FALSE,FALSE,QV,1000,0.867,14.41141355,13.78105474,0.194376545,10.80597129,0.781
191,50,0,0,3,10,1,0.5,0.06,FALSE,FALSE,1p1v,1000,0.776,12.60037078,17.08690902,-0.004,7.170732418,0.797
190,50,0,0,3,10,1,0.5,0.05,FALSE,FALSE,QV,1000,0.852,14.79686885,14.64436335,0.448641121,11.54170611,0.788
193,50,0,0,3,10,1,0.5,0.07,FALSE,FALSE,1p1v,1000,0.812,14.07795709,16.34838063,-0.026,6.954976326,0.82
192,50,0,0,3,10,1,0.5,0.06,FALSE,FALSE,QV,1000,0.849,15.05714269,15.32575616,0.281343142,12.11100707,0.783
194,50,0,0,3,10,1,0.5,0.07,FALSE,FALSE,QV,1000,0.865,14.64406492,13.99914566,0.081065688,11.53679507,0.81
195,50,0,0,3,10,1,0.5,0.08,FALSE,FALSE,1p1v,1000,0.788,14.1675158,17.04316552,0.146,7.126392458,0.804
196,50,0,0,3,10,1,0.5,0.08,FALSE,FALSE,QV,1000,0.85,14.86248124,15.28902134,0.108513447,12.21514514,0.822
197,50,0,0,3,10,1,0.5,0.083,FALSE,FALSE,1p1v,1000,0.805,14.12394008,16.33613042,-0.112,7.114919401,0.803
199,50,0,0,6,10,1,0.5,3.00E-04,FALSE,FALSE,1p1v,1000,0.78,25.58869414,32.81921216,-0.364,6.921517999,0.795
198,50,0,0,3,10,1,0.5,0.083,FALSE,FALSE,QV,1000,0.826,15.03946821,15.52501236,0.597815227,12.35788585,0.782
200,50,0,0,6,10,1,0.5,3.00E-04,FALSE,FALSE,QV,1000,0.989,33.96481558,25.85483777,0.51473479,21.34792596,0.795
201,50,0,0,6,10,1,0.5,0.001,FALSE,FALSE,1p1v,1000,0.783,26.73650116,32.54882241,0.04,6.793861682,0.788
203,50,0,0,6,10,1,0.5,0.01,FALSE,FALSE,1p1v,1000,0.785,26.8038703,32.94069867,-0.3,7.099887915,0.787
202,50,0,0,6,10,1,0.5,0.001,FALSE,FALSE,QV,1000,0.976,35.00056548,26.08729704,-0.91731466,21.86511071,0.792
205,50,0,0,6,10,1,0.5,0.02,FALSE,FALSE,1p1v,1000,0.787,27.7113119,33.52976183,-0.096,7.125837604,0.792
204,50,0,0,6,10,1,0.5,0.01,FALSE,FALSE,QV,1000,0.918,31.61808151,26.29227288,-0.224560559,20.99971368,0.809
207,50,0,0,6,10,1,0.5,0.03,FALSE,FALSE,1p1v,1000,0.809,28.40077596,32.92364074,-0.416,7.296038389,0.824
206,50,0,0,6,10,1,0.5,0.02,FALSE,FALSE,QV,1000,0.908,31.8696035,27.03520102,0.701350368,21.67313201,0.815
209,50,0,0,6,10,1,0.5,0.04,FALSE,FALSE,1p1v,1000,0.803,28.1017649,33.03205646,-0.162,7.364780784,0.809
208,50,0,0,6,10,1,0.5,0.03,FALSE,FALSE,QV,1000,0.881,31.46899848,28.43764757,-0.287300601,22.42856036,0.797
211,50,0,0,6,10,1,0.5,0.05,FALSE,FALSE,1p1v,1000,0.8,27.06043257,32.26277362,0.23,6.994857256,0.816
210,50,0,0,6,10,1,0.5,0.04,FALSE,FALSE,QV,1000,0.866,30.96973865,29.93898435,0.300761241,22.81935381,0.787
213,50,0,0,6,10,1,0.5,0.06,FALSE,FALSE,1p1v,1000,0.785,25.54119775,32.40320735,0.148,6.988772348,0.793
212,50,0,0,6,10,1,0.5,0.05,FALSE,FALSE,QV,1000,0.879,31.20912489,28.41318891,0.794135903,23.41349368,0.792
215,50,0,0,6,10,1,0.5,0.07,FALSE,FALSE,1p1v,1000,0.788,26.73515686,32.95975101,-0.218,7.172162569,0.786
214,50,0,0,6,10,1,0.5,0.06,FALSE,FALSE,QV,1000,0.859,29.86146901,28.88062391,-0.793853023,23.78733882,0.79
216,50,0,0,6,10,1,0.5,0.07,FALSE,FALSE,QV,1000,0.858,29.65759977,29.62774597,1.292347334,22.95341543,0.806
217,50,0,0,6,10,1,0.5,0.08,FALSE,FALSE,1p1v,1000,0.805,27.81244554,31.7401306,-0.132,7.113450441,0.797
218,50,0,0,6,10,1,0.5,0.08,FALSE,FALSE,QV,1000,0.835,29.31809695,31.43847621,0.244140365,24.11590471,0.804
219,50,0,0,6,10,1,0.5,0.083,FALSE,FALSE,1p1v,1000,0.806,28.4996914,33.41114686,-0.276,7.269158456,0.809
221,60,0,0,3,10,1,0.5,3.00E-04,FALSE,FALSE,1p1v,1000,0.8,15.22387354,17.89928545,-0.174,7.74245889,0.812
220,50,0,0,6,10,1,0.5,0.083,FALSE,FALSE,QV,1000,0.822,29.02207387,31.39529723,0.280610096,24.15787939,0.807
223,60,0,0,3,10,1,0.5,0.001,FALSE,FALSE,1p1v,1000,0.814,15.95974138,17.31332031,0.112,7.940939146,0.813
222,60,0,0,3,10,1,0.5,3.00E-04,FALSE,FALSE,QV,1000,0.992,18.98443653,14.48589245,-0.439505892,11.959534,0.793
224,60,0,0,3,10,1,0.5,0.001,FALSE,FALSE,QV,1000,0.984,19.36350247,14.41531564,0.381682506,12.06606253,0.814
225,60,0,0,3,10,1,0.5,0.01,FALSE,FALSE,1p1v,1000,0.806,15.37767181,17.76203861,-0.042,7.880630707,0.805
226,60,0,0,3,10,1,0.5,0.01,FALSE,FALSE,QV,1000,0.95,18.24267544,13.91734837,0.057335438,11.73016745,0.81
227,60,0,0,3,10,1,0.5,0.02,FALSE,FALSE,1p1v,1000,0.793,14.29638159,17.44545872,0.396,7.612958764,0.806
229,60,0,0,3,10,1,0.5,0.03,FALSE,FALSE,1p1v,1000,0.79,14.77850963,18.19514253,-0.076,7.618153337,0.796
228,60,0,0,3,10,1,0.5,0.02,FALSE,FALSE,QV,1000,0.92,18.03069142,15.0252473,-0.004960918,12.18451791,0.769
231,60,0,0,3,10,1,0.5,0.04,FALSE,FALSE,1p1v,1000,0.783,14.13377259,17.36759106,-0.2,7.557321821,0.792
230,60,0,0,3,10,1,0.5,0.03,FALSE,FALSE,QV,1000,0.905,17.68335371,14.59755179,0.3515752,12.01122305,0.827
233,60,0,0,3,10,1,0.5,0.05,FALSE,FALSE,1p1v,1000,0.79,14.31714112,17.59899684,-0.61,7.748802743,0.797
232,60,0,0,3,10,1,0.5,0.04,FALSE,FALSE,QV,1000,0.868,16.84338067,15.51503029,1.056438638,12.41849774,0.789
235,60,0,0,3,10,1,0.5,0.06,FALSE,FALSE,1p1v,1000,0.779,14.43276125,18.45153157,0.25,7.626248072,0.798
234,60,0,0,3,10,1,0.5,0.05,FALSE,FALSE,QV,1000,0.885,17.76057278,15.51353731,-0.631937226,12.82893371,0.782
237,60,0,0,3,10,1,0.5,0.07,FALSE,FALSE,1p1v,1000,0.804,14.76229934,18.0517313,-0.224,7.664500543,0.807
236,60,0,0,3,10,1,0.5,0.06,FALSE,FALSE,QV,1000,0.856,16.78858948,15.56557751,-0.319850946,12.9108443,0.793
238,60,0,0,3,10,1,0.5,0.07,FALSE,FALSE,QV,1000,0.845,16.60036226,16.63299448,-0.478944356,12.87383498,0.794
239,60,0,0,3,10,1,0.5,0.08,FALSE,FALSE,1p1v,1000,0.79,14.70922541,17.95792378,-0.038,7.685155666,0.8
241,60,0,0,3,10,1,0.5,0.083,FALSE,FALSE,1p1v,1000,0.798,14.77947941,17.75160523,-0.1,7.696312964,0.796
240,60,0,0,3,10,1,0.5,0.08,FALSE,FALSE,QV,1000,0.805,14.60599218,17.00696558,-0.62147372,12.97464385,0.788
243,60,0,0,6,10,1,0.5,3.00E-04,FALSE,FALSE,1p1v,1000,0.782,30.10439014,37.84965852,-0.032,7.867202099,0.8
242,60,0,0,3,10,1,0.5,0.083,FALSE,FALSE,QV,1000,0.822,15.48783284,16.71385834,0.105241877,13.1810347,0.773
245,60,0,0,6,10,1,0.5,0.001,FALSE,FALSE,1p1v,1000,0.8,29.81079127,35.8085608,-0.62,7.770970852,0.802
244,60,0,0,6,10,1,0.5,3.00E-04,FALSE,FALSE,QV,1000,0.987,37.03178329,27.47990043,0.187594841,23.07951914,0.819
246,60,0,0,6,10,1,0.5,0.001,FALSE,FALSE,QV,1000,0.982,37.45189925,28.8576145,-0.757781209,23.72758804,0.8
247,60,0,0,6,10,1,0.5,0.01,FALSE,FALSE,1p1v,1000,0.775,28.64121485,35.39835185,0.34,7.610408551,0.791
248,60,0,0,6,10,1,0.5,0.01,FALSE,FALSE,QV,1000,0.923,35.7365382,29.65886246,0.171249704,23.70826424,0.79
249,60,0,0,6,10,1,0.5,0.02,FALSE,FALSE,1p1v,1000,0.794,30.54668569,36.01510421,0.092,7.937161617,0.799
251,60,0,0,6,10,1,0.5,0.03,FALSE,FALSE,1p1v,1000,0.783,27.24299187,35.69496322,0.18,7.414484107,0.791
250,60,0,0,6,10,1,0.5,0.02,FALSE,FALSE,QV,1000,0.912,35.52240765,29.46915808,0.577776908,23.98557587,0.797
253,60,0,0,6,10,1,0.5,0.04,FALSE,FALSE,1p1v,1000,0.818,30.09211561,34.93768317,0.066,7.864190326,0.818
252,60,0,0,6,10,1,0.5,0.03,FALSE,FALSE,QV,1000,0.896,33.49248055,29.3563567,0.138242454,23.9670559,0.801
255,60,0,0,6,10,1,0.5,0.05,FALSE,FALSE,1p1v,1000,0.787,29.03456867,35.8391074,-0.112,7.889848269,0.787
254,60,0,0,6,10,1,0.5,0.04,FALSE,FALSE,QV,1000,0.88,35.09284363,32.00199887,0.569989111,26.24092139,0.803
257,60,0,0,6,10,1,0.5,0.06,FALSE,FALSE,1p1v,1000,0.785,28.89862218,36.31830212,-0.446,7.782136316,0.785
256,60,0,0,6,10,1,0.5,0.05,FALSE,FALSE,QV,1000,0.856,33.51824258,32.81955977,-0.503642852,25.51485995,0.824
258,60,0,0,6,10,1,0.5,0.06,FALSE,FALSE,QV,1000,0.859,33.12357585,32.14639336,-1.03138054,25.69075933,0.795
259,60,0,0,6,10,1,0.5,0.07,FALSE,FALSE,1p1v,1000,0.785,29.32424307,36.16091253,-0.274,7.621220834,0.807
261,60,0,0,6,10,1,0.5,0.08,FALSE,FALSE,1p1v,1000,0.786,29.53891626,36.15493217,-0.356,7.859200407,0.8
260,60,0,0,6,10,1,0.5,0.07,FALSE,FALSE,QV,1000,0.857,33.25488299,32.63120895,-0.00784801,25.89561079,0.802
263,60,0,0,6,10,1,0.5,0.083,FALSE,FALSE,1p1v,1000,0.806,30.4841242,35.64237364,-0.09,7.814407525,0.817
262,60,0,0,6,10,1,0.5,0.08,FALSE,FALSE,QV,1000,0.83,31.62109104,32.78146142,0.212291329,26.30313809,0.793
264,60,0,0,6,10,1,0.5,0.083,FALSE,FALSE,QV,1000,0.857,33.96176944,32.15729574,-0.583413439,27.0283586,0.809
265,70,0,0,3,10,1,0.5,3.00E-04,FALSE,FALSE,1p1v,1000,0.805,16.28924689,19.02051986,-0.044,8.203496898,0.833
267,70,0,0,3,10,1,0.5,0.001,FALSE,FALSE,1p1v,1000,0.813,17.24817949,19.52320532,0.368,8.556271722,0.811
266,70,0,0,3,10,1,0.5,3.00E-04,FALSE,FALSE,QV,1000,0.992,19.9525103,14.94982501,-0.497475911,12.45684205,0.795
269,70,0,0,3,10,1,0.5,0.01,FALSE,FALSE,1p1v,1000,0.825,16.29490145,18.6599529,0.11,8.299203382,0.823
268,70,0,0,3,10,1,0.5,0.001,FALSE,FALSE,QV,1000,0.979,20.35392043,15.17531219,0.398480377,12.69076304,0.801
271,70,0,0,3,10,1,0.5,0.02,FALSE,FALSE,1p1v,1000,0.801,15.78513281,18.73016737,0.156,8.143339486,0.813
270,70,0,0,3,10,1,0.5,0.01,FALSE,FALSE,QV,1000,0.93,19.38747167,15.57807242,-0.484077446,12.60108161,0.804
273,70,0,0,3,10,1,0.5,0.03,FALSE,FALSE,1p1v,1000,0.811,16.55402228,18.6041652,0.11,8.21823822,0.822
272,70,0,0,3,10,1,0.5,0.02,FALSE,FALSE,QV,1000,0.9,19.36899203,16.02797416,-0.036191245,13.28614373,0.809
275,70,0,0,3,10,1,0.5,0.04,FALSE,FALSE,1p1v,1000,0.794,16.59614931,19.27494874,-0.012,8.40752892,0.8
274,70,0,0,3,10,1,0.5,0.03,FALSE,FALSE,QV,1000,0.878,18.87273548,16.94623888,0.234433585,13.26554764,0.809
276,70,0,0,3,10,1,0.5,0.04,FALSE,FALSE,QV,1000,0.867,19.01616253,17.48463467,0.52204228,13.91467503,0.796
277,70,0,0,3,10,1,0.5,0.05,FALSE,FALSE,1p1v,1000,0.764,14.34887571,19.0982365,0.272,8.369711349,0.774
279,70,0,0,3,10,1,0.5,0.06,FALSE,FALSE,1p1v,1000,0.787,16.33313474,20.14731219,-0.188,8.601781597,0.797
278,70,0,0,3,10,1,0.5,0.05,FALSE,FALSE,QV,1000,0.865,17.86696185,16.86660728,0.424795649,13.72585985,0.794
281,70,0,0,3,10,1,0.5,0.07,FALSE,FALSE,1p1v,1000,0.784,15.76769964,19.49391246,0.178,8.256420804,0.796
280,70,0,0,3,10,1,0.5,0.06,FALSE,FALSE,QV,1000,0.865,18.28067551,17.09666718,1.248314366,13.99679551,0.817
283,70,0,0,3,10,1,0.5,0.08,FALSE,FALSE,1p1v,1000,0.762,14.00188726,19.24021218,-0.434,7.617983833,0.773
282,70,0,0,3,10,1,0.5,0.07,FALSE,FALSE,QV,1000,0.85,17.74888671,17.97157405,-0.900962395,14.35490856,0.786
285,70,0,0,3,10,1,0.5,0.083,FALSE,FALSE,1p1v,1000,0.799,17.12885926,20.27824566,-0.164,8.704531743,0.813
284,70,0,0,3,10,1,0.5,0.08,FALSE,FALSE,QV,1000,0.858,18.04248995,17.4955729,-0.127459021,14.05266907,0.817
287,70,0,0,6,10,1,0.5,3.00E-04,FALSE,FALSE,1p1v,1000,0.791,32.27595341,39.58741443,-0.118,8.483280146,0.8
286,70,0,0,3,10,1,0.5,0.083,FALSE,FALSE,QV,1000,0.836,17.24933288,18.542826,0.060516703,14.32624909,0.8
289,70,0,0,6,10,1,0.5,0.001,FALSE,FALSE,1p1v,1000,0.791,31.13227047,38.99430944,-0.144,8.223800514,0.797
288,70,0,0,6,10,1,0.5,3.00E-04,FALSE,FALSE,QV,1000,0.986,38.18236001,30.10535292,-0.596241009,24.32886383,0.766
291,70,0,0,6,10,1,0.5,0.01,FALSE,FALSE,1p1v,1000,0.771,29.94004099,38.5280935,-0.134,8.08971492,0.788
290,70,0,0,6,10,1,0.5,0.001,FALSE,FALSE,QV,1000,0.981,40.97236065,31.59479316,0.32309365,25.92047088,0.809
292,70,0,0,6,10,1,0.5,0.01,FALSE,FALSE,QV,1000,0.93,41.03779659,32.68762602,-0.376253126,26.71737793,0.816
293,70,0,0,6,10,1,0.5,0.02,FALSE,FALSE,1p1v,1000,0.785,31.34494499,39.9370911,0.088,8.398499318,0.803
295,70,0,0,6,10,1,0.5,0.03,FALSE,FALSE,1p1v,1000,0.777,31.09435439,39.98057369,0.57,8.401767058,0.784
294,70,0,0,6,10,1,0.5,0.02,FALSE,FALSE,QV,1000,0.915,38.09705926,30.95308118,0.071245382,25.06566285,0.804
297,70,0,0,6,10,1,0.5,0.04,FALSE,FALSE,1p1v,1000,0.784,32.46665001,38.91098859,-0.072,8.231559668,0.795
296,70,0,0,6,10,1,0.5,0.03,FALSE,FALSE,QV,1000,0.907,36.46638384,31.75222804,1.523210643,25.72793897,0.793
299,70,0,0,6,10,1,0.5,0.05,FALSE,FALSE,1p1v,1000,0.807,32.40631187,37.83719591,-0.414,8.593628713,0.814
298,70,0,0,6,10,1,0.5,0.04,FALSE,FALSE,QV,1000,0.873,36.08421777,33.32360275,0.441310708,26.51498967,0.776
301,70,0,0,6,10,1,0.5,0.06,FALSE,FALSE,1p1v,1000,0.752,29.78453433,40.4211657,0.286,8.332564769,0.761
300,70,0,0,6,10,1,0.5,0.05,FALSE,FALSE,QV,1000,0.854,34.52393745,34.42477724,1.335910241,26.47660859,0.806
303,70,0,0,6,10,1,0.5,0.07,FALSE,FALSE,1p1v,1000,0.804,31.94426597,38.76588435,0.012,8.457859741,0.817
302,70,0,0,6,10,1,0.5,0.06,FALSE,FALSE,QV,1000,0.847,34.73307728,35.4302442,0.44839828,27.66631389,0.806
305,70,0,0,6,10,1,0.5,0.08,FALSE,FALSE,1p1v,1000,0.787,31.85738568,39.54816541,0.24,8.432645463,0.799
