[run number],number-of-voters,calibration,marginal-pivotality,variance-of-perceived-pivotality,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
252,301,1. prop8-mean>0,0.5,0.03,QV,1000,0.979,34.65020555,21.28891501,16.92619599,11.67133382,0.266
255,301,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.3,-7.713588789,38.23506299,-11.922,17.72986927,0.3
254,301,1. prop8-mean>0,0.5,0.04,QV,1000,0.98,34.99597079,20.80114202,17.34176268,11.58071035,0.315
257,301,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.277,-11.01298338,38.49811886,-11.798,16.84288808,0.277
256,301,1. prop8-mean>0,0.5,0.05,QV,1000,0.956,33.4252713,21.92317481,16.727078,11.97489577,0.281
259,301,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.289,-9.944867561,39.02014454,-12.142,17.38856516,0.289
258,301,1. prop8-mean>0,0.5,0.06,QV,1000,0.957,33.66720733,22.0368267,16.57094448,12.12383957,0.276
261,301,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.29,-9.804794156,38.62770939,-10.674,16.87431381,0.29
260,301,1. prop8-mean>0,0.5,0.07,QV,1000,0.959,33.5085962,21.689413,16.75471752,12.22192969,0.288
263,301,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.271,-11.76366909,38.30893663,-12.71,16.98801026,0.271
262,301,1. prop8-mean>0,0.5,0.08,QV,1000,0.97,32.8383857,20.88604074,16.41936615,11.87281287,0.26
264,301,1. prop8-mean>0,0.5,0.083,QV,1000,0.943,31.84185386,22.00974185,16.07218169,12.34781014,0.271
265,401,1. prop8-mean>0,0.5,0,1p1v,1000,0.218,-20.4549839,46.49362594,-17.062,20.0539851,0.218
266,401,1. prop8-mean>0,0.5,0,QV,1000,1,44.48951726,24.69040035,22.14682724,12.52020961,0.231
267,401,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.245,-17.60875623,49.08627926,-15.226,20.22359805,0.245
269,401,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.252,-17.16382008,49.06997499,-15.482,20.15683442,0.252
268,401,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.999,45.33007106,24.49281412,22.50361478,12.60256436,0.257
271,401,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.228,-19.06367895,47.49353705,-15.276,19.43578076,0.228
270,401,1. prop8-mean>0,0.5,0.001,QV,1000,0.997,44.42807633,25.36005217,22.06140144,12.93471044,0.23
273,401,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.225,-19.09596942,47.86294744,-16.522,20.04338428,0.225
272,401,1. prop8-mean>0,0.5,0.01,QV,1000,0.995,45.18834062,24.30703968,22.48494618,12.71783689,0.241
275,401,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.211,-20.58631875,45.54958881,-17.578,20.24370825,0.211
274,401,1. prop8-mean>0,0.5,0.02,QV,1000,0.988,44.84012682,24.00281149,22.46286142,12.96971821,0.236
277,401,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.251,-15.47678565,48.82959145,-14.628,19.70568268,0.251
276,401,1. prop8-mean>0,0.5,0.03,QV,1000,0.987,45.44174521,25.25855153,22.74018163,13.48796007,0.234
279,401,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.233,-19.17055585,46.6779657,-16.466,19.53428863,0.233
278,401,1. prop8-mean>0,0.5,0.04,QV,1000,0.981,44.94903333,24.70596165,22.61724563,13.60875574,0.248
280,401,1. prop8-mean>0,0.5,0.05,QV,1000,0.979,44.3261712,24.798285,21.69849897,13.37410395,0.243
281,401,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.239,-17.05796849,48.2178289,-15.96,20.02676887,0.239
283,401,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.24,-17.96365732,48.28071363,-16.204,19.50966455,0.24
282,401,1. prop8-mean>0,0.5,0.06,QV,1000,0.978,44.1792295,25.04313039,22.62096344,14.01371243,0.231
285,401,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.208,-21.9177655,46.45158442,-15.852,18.7059351,0.208
284,401,1. prop8-mean>0,0.5,0.07,QV,1000,0.97,44.43700851,25.43667392,22.496719,14.27872728,0.223
287,401,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.235,-18.52467611,47.43000739,-15.526,19.82908259,0.235
286,401,1. prop8-mean>0,0.5,0.08,QV,1000,0.966,44.28511102,25.76122475,22.6118803,14.31641169,0.22
289,501,1. prop8-mean>0,0.5,0,1p1v,1000,0.197,-24.93297805,56.86894267,-20.104,22.49958701,0.197
288,401,1. prop8-mean>0,0.5,0.083,QV,1000,0.973,44.40734187,25.44969183,22.55021717,14.48037395,0.24
290,501,1. prop8-mean>0,0.5,0,QV,1000,1,56.31009672,27.61946089,28.09319241,13.93525837,0.207
291,501,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.19,-28.35997024,55.97846751,-20.528,22.73372029,0.19
293,501,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.189,-27.92816287,53.87514727,-21.302,22.24427125,0.189
292,501,1. prop8-mean>0,0.5,3.00E-04,QV,1000,1,56.56953448,28.169537,28.23499899,14.23612647,0.198
295,501,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.18,-29.04457293,54.79989775,-19.954,21.70061752,0.18
294,501,1. prop8-mean>0,0.5,0.001,QV,1000,1,57.12029384,28.03617931,28.49850509,14.31782925,0.185
297,501,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.196,-27.33535952,56.06222009,-19.332,21.62973929,0.196
296,501,1. prop8-mean>0,0.5,0.01,QV,1000,1,56.31481002,26.90636305,28.19290109,13.74441737,0.186
299,501,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.212,-25.30967487,57.813457,-19.124,22.74796901,0.212
298,501,1. prop8-mean>0,0.5,0.02,QV,1000,0.992,56.06182713,26.7050441,27.95459829,14.17027836,0.187
301,501,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.174,-30.55320207,53.0949068,-21.104,22.04202883,0.174
300,501,1. prop8-mean>0,0.5,0.03,QV,1000,0.993,54.83876484,26.29739283,27.25266365,14.17593675,0.193
303,501,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.198,-27.49799543,54.47273143,-18.74,21.99090721,0.198
302,501,1. prop8-mean>0,0.5,0.04,QV,1000,0.99,58.45154408,28.66887439,29.11012841,15.59003685,0.217
305,501,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.206,-26.08483078,56.73428462,-19.202,23.06528134,0.206
304,501,1. prop8-mean>0,0.5,0.05,QV,1000,0.98,56.49489471,28.04765021,28.49241851,15.74014581,0.21
307,501,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.202,-26.99672111,56.73543699,-20.012,22.71113497,0.202
306,501,1. prop8-mean>0,0.5,0.06,QV,1000,0.981,54.92981329,28.89039423,27.30871093,15.32953601,0.155
308,501,1. prop8-mean>0,0.5,0.07,QV,1000,0.982,56.21538218,29.13591978,28.22404432,16.0947711,0.192
309,501,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.227,-22.96155445,57.86398414,-19.862,23.01770559,0.227
311,501,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.18,-29.4299543,54.00896623,-21.346,22.35961172,0.18
310,501,1. prop8-mean>0,0.5,0.08,QV,1000,0.982,56.28970487,29.18320546,28.1412653,16.61023295,0.202
313,601,1. prop8-mean>0,0.5,0,1p1v,1000,0.185,-34.94157359,65.47319691,-22.598,24.49396559,0.185
312,501,1. prop8-mean>0,0.5,0.083,QV,1000,0.976,54.55360863,27.73634046,27.93898272,16.03484764,0.183
314,601,1. prop8-mean>0,0.5,0,QV,1000,1,67.63665661,30.61382195,33.79837138,15.35097052,0.185
315,601,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.177,-37.89951524,65.92394107,-22.83,24.83610138,0.177
317,601,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.18,-35.54360932,63.72010293,-23.3,24.71017184,0.18
316,601,1. prop8-mean>0,0.5,3.00E-04,QV,1000,1,66.59155096,29.42631441,33.26806714,14.80065007,0.152
319,601,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.154,-40.546741,61.19682992,-24.448,23.75077673,0.154
318,601,1. prop8-mean>0,0.5,0.001,QV,1000,0.999,66.76458784,30.22926165,33.33024941,15.19113989,0.147
321,601,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.166,-40.12736781,62.14422816,-24.502,24.25828643,0.166
320,601,1. prop8-mean>0,0.5,0.01,QV,1000,0.999,67.78547526,30.56849176,33.85628809,15.58640648,0.19
322,601,1. prop8-mean>0,0.5,0.02,QV,1000,0.995,67.3951937,30.22933822,33.80605347,15.8561619,0.19
323,601,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.157,-38.10059152,61.40447775,-24.934,23.92848128,0.157
325,601,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.163,-38.82258035,62.87758582,-24.79,24.63978529,0.163
324,601,1. prop8-mean>0,0.5,0.03,QV,1000,0.993,66.14276634,29.30639393,32.82943725,15.61912465,0.166
326,601,1. prop8-mean>0,0.5,0.04,QV,1000,0.993,64.26678624,30.55393568,32.33318169,16.73923555,0.185
327,601,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.186,-34.44192687,67.16486543,-23.264,25.05973452,0.186
329,601,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.16,-39.96671669,62.06376332,-23.458,23.9429217,0.16
328,601,1. prop8-mean>0,0.5,0.05,QV,1000,0.992,67.58849401,30.60737636,33.6245399,16.75076517,0.178
331,601,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.176,-37.37409087,64.47611534,-23.492,23.94851702,0.176
330,601,1. prop8-mean>0,0.5,0.06,QV,1000,0.991,65.58019889,30.24606253,33.01843712,16.99667234,0.155
333,601,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.161,-39.56238285,62.33082156,-24.76,24.18841623,0.161
332,601,1. prop8-mean>0,0.5,0.07,QV,1000,0.983,66.05090428,31.49469615,33.22278908,17.34227601,0.168
335,601,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.166,-38.78312212,63.41345951,-23.734,23.39907607,0.166
334,601,1. prop8-mean>0,0.5,0.08,QV,1000,0.984,65.99512313,31.2202985,33.09776577,17.51596245,0.17
336,601,1. prop8-mean>0,0.5,0.083,QV,1000,0.984,68.0929733,32.76852138,34.47990659,18.4401737,0.158
337,701,1. prop8-mean>0,0.5,0,1p1v,1000,0.154,-47.49519749,71.04443498,-27.59,26.00469466,0.154
338,701,1. prop8-mean>0,0.5,0,QV,1000,1,77.97554972,32.54702347,38.95387437,16.35457394,0.154
339,701,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.173,-44.05848334,73.55678599,-26.618,26.87311371,0.173
341,701,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.147,-48.88681605,69.9228684,-28.144,26.44962848,0.147
340,701,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.998,77.38282283,33.18214746,38.66922029,16.68109252,0.141
343,701,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.16,-45.90402239,70.95780368,-27.094,26.40750879,0.16
342,701,1. prop8-mean>0,0.5,0.001,QV,1000,0.998,79.20398146,32.64824619,39.62393274,16.36725096,0.171
345,701,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.129,-51.5585406,64.75363489,-28.626,25.56587056,0.129
344,701,1. prop8-mean>0,0.5,0.01,QV,1000,0.998,77.24520535,32.93057311,38.55684693,16.94581606,0.174
347,701,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.151,-48.73357354,71.03582234,-26.516,25.89742112,0.151
346,701,1. prop8-mean>0,0.5,0.02,QV,1000,0.998,77.26295667,32.97687804,38.39961821,17.10693567,0.158
349,701,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.175,-43.82801463,74.23354687,-26.91,27.11270918,0.175
348,701,1. prop8-mean>0,0.5,0.03,QV,1000,0.994,77.08202173,33.58686352,38.31784842,17.77292739,0.157
351,701,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.125,-52.25389394,65.28967738,-29.304,25.68936604,0.125
350,701,1. prop8-mean>0,0.5,0.04,QV,1000,0.994,77.95119491,33.53553744,38.8251262,17.97003428,0.164
353,701,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.138,-49.31866726,68.89979567,-28.66,25.91949498,0.138
352,701,1. prop8-mean>0,0.5,0.05,QV,1000,0.998,79.04183283,31.88343124,39.64323253,18.08942634,0.153
355,701,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.152,-45.48528825,70.43123546,-28.74,26.19485771,0.152
354,701,1. prop8-mean>0,0.5,0.06,QV,1000,0.991,76.96165828,32.71324036,38.52423886,17.90079598,0.142
357,701,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.129,-51.12681883,68.72405718,-29.282,25.83842294,0.129
356,701,1. prop8-mean>0,0.5,0.07,QV,1000,0.994,79.6812315,32.98292589,39.98629956,18.86044043,0.137
359,701,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.141,-49.77310517,70.54023068,-27.01,26.00646528,0.141
358,701,1. prop8-mean>0,0.5,0.08,QV,1000,0.994,80.29318639,33.08940682,40.38279557,18.55336471,0.149
360,701,1. prop8-mean>0,0.5,0.083,QV,1000,0.992,79.80590454,33.82402831,40.44561879,19.54803787,0.166
361,801,1. prop8-mean>0,0.5,0,1p1v,1000,0.112,-63.37414582,71.733281,-32.598,26.8780361,0.112
362,801,1. prop8-mean>0,0.5,0,QV,1000,1,90.54496406,36.03222345,45.20856191,18.17607302,0.132
363,801,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.112,-64.60842979,72.18851922,-32.838,27.68769337,0.112
365,801,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.13,-60.1014445,77.02593686,-32.258,28.70242612,0.13
364,801,1. prop8-mean>0,0.5,3.00E-04,QV,1000,1,89.48134889,35.79587232,44.68532907,17.96070034,0.141
367,801,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.131,-57.40103991,75.54480135,-30.824,27.26169885,0.131
366,801,1. prop8-mean>0,0.5,0.001,QV,1000,1,88.35368257,34.91751281,44.18735551,17.5517239,0.132
369,801,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.147,-55.82395314,78.83368626,-30.864,27.98779771,0.147
368,801,1. prop8-mean>0,0.5,0.01,QV,1000,1,90.99055866,35.94123709,45.55093016,18.37060737,0.135
371,801,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.132,-58.5317849,76.58866742,-31.428,28.22065239,0.132
370,801,1. prop8-mean>0,0.5,0.02,QV,1000,1,88.73868079,35.57677615,44.35089884,18.38642375,0.126
373,801,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.115,-61.92538756,73.29280382,-33.38,28.13281101,0.115
372,801,1. prop8-mean>0,0.5,0.03,QV,1000,0.993,88.34533878,35.32853589,44.13425179,18.63141536,0.143
375,801,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.132,-58.00934105,76.22991844,-32.356,27.78238876,0.132
374,801,1. prop8-mean>0,0.5,0.04,QV,1000,0.997,88.34107752,35.76739184,44.43425316,19.22684021,0.136
377,801,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.146,-55.11563232,79.69963238,-31.084,29.07421975,0.146
376,801,1. prop8-mean>0,0.5,0.05,QV,1000,0.998,89.31416103,35.28236446,44.59913105,18.92705759,0.142
379,801,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.119,-60.04950688,73.8470408,-33.768,28.4143899,0.119
378,801,1. prop8-mean>0,0.5,0.06,QV,1000,0.993,89.49233942,35.14850925,45.34088301,18.98875644,0.15
381,801,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.136,-57.4646721,77.08740924,-32.542,28.48672901,0.136
380,801,1. prop8-mean>0,0.5,0.07,QV,1000,0.994,88.94533327,35.0242769,44.70226937,20.42004233,0.138
383,801,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.147,-54.88076754,79.28221712,-31.52,29.26065252,0.147
382,801,1. prop8-mean>0,0.5,0.08,QV,1000,0.995,90.96446323,34.4421112,45.67963706,19.60524476,0.133
384,801,1. prop8-mean>0,0.5,0.083,QV,1000,1,88.37920424,36.16974602,44.30088556,20.35271572,0.142
385,901,1. prop8-mean>0,0.5,0,1p1v,1000,0.109,-70.255797,80.6187387,-36.522,31.3492311,0.109
386,901,1. prop8-mean>0,0.5,0,QV,1000,1,96.17128086,37.00274389,48.08178947,18.51138761,0.104
387,901,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.092,-74.85849106,75.11644617,-37.592,28.31316251,0.092
389,901,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.12,-67.69555528,79.83336245,-36.47,29.90520726,0.12
388,901,1. prop8-mean>0,0.5,3.00E-04,QV,1000,1,101.3857386,37.59919627,50.7024919,18.9425619,0.115
391,901,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.115,-72.13610287,82.78210008,-35.132,29.12261497,0.115
390,901,1. prop8-mean>0,0.5,0.001,QV,1000,1,102.4864961,37.35459577,51.27037028,18.74081834,0.13
393,901,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.127,-69.24748551,84.10110379,-34.43,29.75359434,0.127
392,901,1. prop8-mean>0,0.5,0.01,QV,1000,1,102.2671147,38.86981021,51.24231607,20.05749598,0.117
395,901,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.11,-69.78332557,79.17553804,-36.844,30.92047444,0.11
394,901,1. prop8-mean>0,0.5,0.02,QV,1000,0.998,100.0120674,38.45602972,50.12194507,19.83447565,0.114
397,901,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.124,-68.19115018,83.27367934,-35.198,30.42582006,0.124
396,901,1. prop8-mean>0,0.5,0.03,QV,1000,1,99.73910129,37.05432421,49.85406303,19.62791245,0.116
399,901,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.113,-70.40281814,79.74820658,-36.68,29.95949217,0.113
398,901,1. prop8-mean>0,0.5,0.04,QV,1000,0.996,100.7426524,37.39424987,50.34401622,19.86425512,0.104
401,901,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.132,-67.91065967,83.61270333,-34.024,29.98737512,0.132
400,901,1. prop8-mean>0,0.5,0.05,QV,1000,0.998,101.1347558,38.43066037,50.19911156,20.78317097,0.129
403,901,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.126,-69.0916012,81.9340802,-36.144,31.07076852,0.126
402,901,1. prop8-mean>0,0.5,0.06,QV,1000,0.999,98.73466953,36.96747612,49.738269,20.61087867,0.127
405,901,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.122,-66.41465918,85.15335691,-35.742,29.46009731,0.122
404,901,1. prop8-mean>0,0.5,0.07,QV,1000,1,99.61228244,36.70327992,49.71738226,21.45111334,0.094
407,901,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.116,-69.55960559,80.56141059,-35.808,29.43490359,0.116
406,901,1. prop8-mean>0,0.5,0.08,QV,1000,0.999,100.2777834,37.58927247,50.46927397,21.12600012,0.102
408,901,1. prop8-mean>0,0.5,0.083,QV,1000,0.995,101.8557902,38.22492736,51.49284568,21.51032029,0.12
409,1001,1. prop8-mean>0,0.5,0,1p1v,1000,0.095,-82.71861292,84.14811686,-40.966,31.91622612,0.095
410,1001,1. prop8-mean>0,0.5,0,QV,1000,1,110.7350132,39.1290086,55.36636609,19.56773492,0.094
411,1001,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.105,-81.67591218,85.89693667,-39.786,32.10384495,0.105
413,1001,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.115,-77.22106251,89.23941267,-41.008,33.48195002,0.115
412,1001,1. prop8-mean>0,0.5,3.00E-04,QV,1000,1,112.1034536,39.03998033,56.0300071,19.58645202,0.105
415,1001,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.092,-85.0656592,83.27911813,-41.694,31.16198699,0.092
414,1001,1. prop8-mean>0,0.5,0.001,QV,1000,1,112.5305296,40.3271719,56.24783882,20.19258881,0.11
417,1001,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.096,-82.82771644,84.06530101,-40.538,30.81071008,0.096
416,1001,1. prop8-mean>0,0.5,0.01,QV,1000,1,112.9721362,40.9925027,56.44264502,20.87662694,0.117
419,1001,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.101,-80.18296113,85.54220713,-40.316,31.92427451,0.101
418,1001,1. prop8-mean>0,0.5,0.02,QV,1000,1,112.3331374,39.34774149,56.00219142,20.38710515,0.105
421,1001,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.112,-80.59891159,88.15262419,-40.57,32.36520673,0.112
420,1001,1. prop8-mean>0,0.5,0.03,QV,1000,0.997,111.188966,40.30192868,55.67268444,21.25515301,0.109
423,1001,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.104,-81.22874267,86.70647581,-39.54,31.16420395,0.104
422,1001,1. prop8-mean>0,0.5,0.04,QV,1000,0.998,114.9404743,40.68288407,57.04572777,21.71199634,0.11
425,1001,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.115,-78.60553449,88.03453739,-39.308,30.44167919,0.115
424,1001,1. prop8-mean>0,0.5,0.05,QV,1000,1,115.2069259,40.1133046,57.45138572,21.48026927,0.105
427,1001,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.128,-75.50236837,93.78770713,-39.178,32.94883825,0.128
426,1001,1. prop8-mean>0,0.5,0.06,QV,1000,0.998,111.5973248,38.96638713,56.11023356,21.94529391,0.114
429,1001,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.1,-81.95798002,85.48398309,-40.638,31.34107878,0.1
428,1001,1. prop8-mean>0,0.5,0.07,QV,1000,0.997,111.3965098,40.34890106,55.51643089,22.53524245,0.101
431,1001,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.112,-77.67426243,86.64170926,-39.274,32.50097287,0.112
430,1001,1. prop8-mean>0,0.5,0.08,QV,1000,1,112.7944958,38.21018296,56.4610306,21.44921732,0.104
432,1001,1. prop8-mean>0,0.5,0.083,QV,1000,0.997,109.7700515,41.52169189,55.81126576,24.05659597,0.098
433,5001,1. prop8-mean>0,0.5,0,1p1v,1000,0.001,-558.3068556,93.78773275,-197.698,70.10306153,0.001
434,5001,1. prop8-mean>0,0.5,0,QV,1000,1,554.86888,86.40107682,277.43444,43.20053841,0.004
435,5001,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.002,-555.9650286,103.7230507,-197.546,71.95222726,0.002
436,5001,1. prop8-mean>0,0.5,3.00E-04,QV,1000,1,553.7432413,88.78646601,276.8616949,44.39107386,0.002
437,5001,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.001,-556.6343772,92.66198138,-198.8,70.88554691,0.001
438,5001,1. prop8-mean>0,0.5,0.001,QV,1000,1,558.2015382,84.73976523,278.9380948,42.4932904,0
439,5001,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.001,-553.2514038,95.3513009,-200.262,72.82985338,0.001
440,5001,1. prop8-mean>0,0.5,0.01,QV,1000,1,558.497462,85.67292278,279.4514377,43.46331102,0.005
441,5001,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.001,-554.6459891,96.53151565,-204.488,70.43273832,0.001
443,5001,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.007,-545.640626,140.6510358,-197.476,73.66953661,0.007
442,5001,1. prop8-mean>0,0.5,0.02,QV,1000,1,556.2262991,87.72827591,278.0490744,46.23583996,0.002
445,5001,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.002,-555.8413462,107.6086055,-201.998,71.30411119,0.002
444,5001,1. prop8-mean>0,0.5,0.03,QV,1000,1,557.6451478,89.32280223,278.2280062,46.93547707,0.001
447,5001,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.003,-555.2834819,118.3795996,-199.35,75.19031243,0.003
446,5001,1. prop8-mean>0,0.5,0.04,QV,1000,1,559.0136831,88.40668133,279.2550393,46.90908435,0.003
449,5001,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.003,-554.1725054,111.1060604,-199.994,70.67397523,0.003
448,5001,1. prop8-mean>0,0.5,0.05,QV,1000,1,560.8169829,88.21515183,279.9055275,48.49777221,0.003
451,5001,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.004,-547.4543556,117.3153592,-203.826,69.42902933,0.004
450,5001,1. prop8-mean>0,0.5,0.06,QV,1000,1,550.9841041,88.37828816,275.89267,48.32499933,0.001
453,5001,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.002,-552.0729549,103.2315597,-201.314,71.03097073,0.002
452,5001,1. prop8-mean>0,0.5,0.07,QV,1000,1,554.2262934,86.67614268,276.8084476,50.18701918,0
455,5001,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.001,-557.3268088,97.79412799,-200.952,70.21754909,0.001
454,5001,1. prop8-mean>0,0.5,0.08,QV,1000,1,557.7082278,88.60530503,278.3610432,51.25227652,0.001
456,5001,1. prop8-mean>0,0.5,0.083,QV,1000,1,559.1570314,85.36686544,280.3777917,51.20790572,0.001
457,10001,1. prop8-mean>0,0.5,0,1p1v,1000,0,-1114.52688,130.1315394,-401.87,101.3557699,0
458,10001,1. prop8-mean>0,0.5,0,QV,1000,1,1111.871442,127.340989,555.9357209,63.67049449,0
459,10001,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0,-1106.850937,124.549711,-398.768,100.7859911,0
460,10001,1. prop8-mean>0,0.5,3.00E-04,QV,1000,1,1114.745781,126.0358977,557.4714042,63.04490641,0
461,10001,1. prop8-mean>0,0.5,0.001,1p1v,1000,0,-1110.997552,124.4764747,-399.572,99.85539503,0
462,10001,1. prop8-mean>0,0.5,0.001,QV,1000,1,1116.324357,127.327993,558.0080535,63.70582044,0
463,10001,1. prop8-mean>0,0.5,0.01,1p1v,1000,0,-1115.969475,125.2087322,-399.02,97.15533315,0
465,10001,1. prop8-mean>0,0.5,0.02,1p1v,1000,0,-1115.815643,120.7863036,-391.306,97.0266589,0
464,10001,1. prop8-mean>0,0.5,0.01,QV,1000,1,1116.785898,126.8125237,558.1649759,64.84789465,0
467,10001,1. prop8-mean>0,0.5,0.03,1p1v,1000,0,-1118.885817,122.620809,-393.138,98.95385198,0
466,10001,1. prop8-mean>0,0.5,0.02,QV,1000,1,1115.407988,120.5648512,557.8194362,62.67680855,0
469,10001,1. prop8-mean>0,0.5,0.04,1p1v,1000,0,-1110.277199,121.8145199,-401.992,101.3763143,0
468,10001,1. prop8-mean>0,0.5,0.03,QV,1000,1,1108.874961,121.6364682,553.899115,64.65380799,0
471,10001,1. prop8-mean>0,0.5,0.05,1p1v,1000,0,-1112.266032,125.1071353,-401.042,98.83356874,0
470,10001,1. prop8-mean>0,0.5,0.04,QV,1000,1,1113.653942,124.7107583,556.055642,67.21811469,0
473,10001,1. prop8-mean>0,0.5,0.06,1p1v,1000,0,-1118.662345,128.8436258,-392.65,103.8518691,0
472,10001,1. prop8-mean>0,0.5,0.05,QV,1000,1,1104.815133,125.2803271,553.1265516,71.05169146,0
475,10001,1. prop8-mean>0,0.5,0.07,1p1v,1000,0,-1107.036521,120.1652072,-403.912,99.93347265,0
474,10001,1. prop8-mean>0,0.5,0.06,QV,1000,1,1119.392252,124.2818148,560.7757655,68.65081828,0
477,10001,1. prop8-mean>0,0.5,0.08,1p1v,1000,0,-1114.812286,125.8371936,-402.276,102.0395212,0
476,10001,1. prop8-mean>0,0.5,0.07,QV,1000,1,1114.335841,131.1046215,556.3409479,73.16949927,0
