[run number],number-of-voters,calibration,marginal-pivotality,variance-of-perceived-pivotality,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
202,101,1. prop8-mean>0,0.5,0.02,QV,1000,0.954,12.30448833,10.69242087,5.513182429,6.444680544,0.516
205,101,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.497,0.823917581,16.41554065,-4.152,9.638973276,0.497
204,101,1. prop8-mean>0,0.5,0.03,QV,1000,0.934,12.1992643,11.082645,5.665446592,6.608257837,0.504
206,101,1. prop8-mean>0,0.5,0.04,QV,1000,0.926,12.57666162,11.24722083,5.644831883,6.858809141,0.511
207,101,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.517,1.763592525,17.08712791,-3.7,10.22421315,0.517
209,101,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.525,1.401862466,17.19508805,-3.812,10.19237659,0.525
208,101,1. prop8-mean>0,0.5,0.05,QV,1000,0.91,11.97443786,11.16207446,5.385771201,6.689968798,0.516
211,101,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.495,0.739661663,16.16222827,-3.918,10.05775494,0.495
210,101,1. prop8-mean>0,0.5,0.06,QV,1000,0.9,12.08903343,12.2339861,5.633183054,7.114643247,0.512
213,101,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.498,1.445108834,16.22787265,-4.1,9.818676408,0.498
212,101,1. prop8-mean>0,0.5,0.07,QV,1000,0.9,11.62848908,11.85827001,5.419196047,7.122209901,0.494
215,101,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.537,1.601450654,16.74402219,-3.524,10.11631177,0.537
214,101,1. prop8-mean>0,0.5,0.08,QV,1000,0.887,11.66245904,11.85713674,5.401285093,7.339786404,0.518
216,101,1. prop8-mean>0,0.5,0.083,QV,1000,0.901,12.30970785,11.909279,5.845831692,6.994600286,0.512
217,201,1. prop8-mean>0,0.5,0,1p1v,1000,0.384,-3.781661985,28.35489818,-8.244,14.23766748,0.384
218,201,1. prop8-mean>0,0.5,0,QV,1000,1,23.1298774,16.53046158,11.09333232,8.88878629,0.37
219,201,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.388,-2.173177292,28.35915512,-7.26,14.15219717,0.388
220,201,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.994,22.70265533,16.25203434,10.91745195,8.733850397,0.375
221,201,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.367,-3.511013405,29.04559472,-8.14,13.82705998,0.367
223,201,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.368,-3.561347464,27.62655292,-8.69,14.53709831,0.368
222,201,1. prop8-mean>0,0.5,0.001,QV,1000,0.996,22.71949801,16.1401666,10.83649037,8.779913386,0.36
225,201,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.354,-4.720140152,27.37141751,-8.512,14.22716656,0.354
224,201,1. prop8-mean>0,0.5,0.01,QV,1000,0.981,23.26788507,16.37446164,11.16340842,9.11776542,0.373
227,201,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.352,-4.535602194,28.1492315,-8.566,13.44009971,0.352
226,201,1. prop8-mean>0,0.5,0.02,QV,1000,0.968,23.08636721,16.64992694,11.24825661,9.115535329,0.368
229,201,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.379,-2.777325464,27.87699406,-8.09,14.46295534,0.379
228,201,1. prop8-mean>0,0.5,0.03,QV,1000,0.956,22.835778,16.6766418,11.02789828,9.4651818,0.369
230,201,1. prop8-mean>0,0.5,0.04,QV,1000,0.961,24.26750389,17.10437154,11.74126188,9.571965551,0.371
231,201,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.384,-2.018311461,28.68380034,-7.124,14.28217787,0.384
233,201,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.35,-4.59314614,29.2107324,-7.806,14.41395595,0.35
232,201,1. prop8-mean>0,0.5,0.05,QV,1000,0.947,22.85269875,16.91922037,11.14454595,9.704439667,0.368
234,201,1. prop8-mean>0,0.5,0.06,QV,1000,0.931,23.08415297,17.31576531,11.66568161,9.905162249,0.36
235,201,1. prop8-mean>0,0.5,0.07,1p1v,1000,0.351,-3.635690107,28.13763787,-8.638,14.47627433,0.351
237,201,1. prop8-mean>0,0.5,0.08,1p1v,1000,0.377,-2.644236062,28.20494986,-8.25,14.24234336,0.377
236,201,1. prop8-mean>0,0.5,0.07,QV,1000,0.944,23.95075708,17.6641476,11.64447986,10.13254401,0.389
238,201,1. prop8-mean>0,0.5,0.08,QV,1000,0.93,23.66563063,18.46257909,11.74699268,10.43827252,0.357
239,201,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.374,-2.696701189,28.97353982,-7.65,13.95594025,0.374
240,201,1. prop8-mean>0,0.5,0.083,QV,1000,0.934,23.23150489,18.12637561,11.55277711,10.51443108,0.383
241,301,1. prop8-mean>0,0.5,0,1p1v,1000,0.281,-10.76982932,38.81601279,-11.592,17.3215927,0.281
242,301,1. prop8-mean>0,0.5,0,QV,1000,1,33.49807534,20.64654487,16.44820322,10.79661171,0.302
243,301,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.289,-10.24844252,37.82857085,-12.402,17.13721331,0.289
245,301,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.301,-8.300223663,39.03022414,-12.268,18.00745525,0.301
244,301,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.999,32.65176318,20.0992351,16.04113952,10.492835,0.306
247,301,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.279,-10.20761884,38.54897893,-11.466,16.92244702,0.279
246,301,1. prop8-mean>0,0.5,0.001,QV,1000,0.997,33.31124223,20.03382348,16.37242913,10.41140136,0.281
249,301,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.279,-10.10081645,37.75928762,-12.092,17.2467094,0.279
248,301,1. prop8-mean>0,0.5,0.01,QV,1000,0.987,33.69400656,21.0075803,16.6819076,11.01723189,0.283
251,301,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.279,-10.7060273,36.66324895,-12.294,16.79939832,0.279
250,301,1. prop8-mean>0,0.5,0.02,QV,1000,0.978,33.96137433,21.36386909,16.71140503,11.3675598,0.278
253,301,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.282,-10.83160647,38.47800153,-12.172,17.44232355,0.282
