"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting with Polling.nlogo"
"does-polling-converge"
"08/06/2019 10:32:16:004 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","number-of-voters","proportion-of-strategic-voters","vote-portion-strategic","number-of-issues","poll-response-rate","utility-distribution","[step]","poll","total-utility-gain","maximal-utility?"
"139","1500","0.1","1","2","1","Normal mean = 0","50","[5.7542016016239765 5.262776049982853]","[5.1789239806730185 -6.921320597949081]","false"
"149","1500","0.1","1","2","1","Normal mean = 0","50","[-16.586360393469736 4.063618295956748]","[2.695602500862668 4.9731034014599445]","true"
"145","1500","0.1","1","2","1","Normal mean = 0","50","[1.0720336782237352 -3.3968777245420916]","[1.0318226058254172 3.0728401244053427]","true"
"143","1500","0.1","1","2","1","Normal mean = 0","50","[39.330573345320964 -45.08366389503568]","[23.24522999340439 12.322714205304889]","true"
"150","1500","0.1","1","2","1","Normal mean = 0","50","[-9.807409006985862 7.295310356738259]","[6.2638237580323795 -0.5436339859508089]","false"
"151","1500","0.1","1","2","1","Normal mean = 0","50","[-16.977587826637745 -13.622857586946926]","[2.156389413256859 -3.926678290549704]","false"
"148","1500","0.1","1","2","1","Normal mean = 0","50","[7.503094881255288 -28.412367227960168]","[-6.35581887172695 8.497490073682394]","false"
"155","1500","0.1","1","2","1","Normal mean = 0","50","[-49.11935615114085 -3.493704976695456]","[6.838653145525552 1.7692343956479533]","true"
"158","1500","0.1","1","2","1","Normal mean = 0","50","[28.69149357691762 -29.97650934311051]","[15.33025310774165 12.863181070051755]","true"
"161","1500","0.1","1","2","1","Normal mean = 0","50","[31.6868801799148 49.155480431860546]","[-0.8847670138483662 13.537032835241813]","false"
"162","1500","0.1","1","2","1","Normal mean = 0","50","[-1.6391634485632383 -23.143965305638037]","[1.0136362866605657 -3.1578419243185065]","false"
"152","1500","0.1","1","2","1","Normal mean = 0","50","[-14.157901553818204 37.441367843680084]","[6.5145847223893085 13.528073585762648]","true"
"153","1500","0.1","1","2","1","Normal mean = 0","50","[72.51905351609906 16.068259771733455]","[20.2587788509279 -0.32725433556937555]","false"
"159","1500","0.1","1","2","1","Normal mean = 0","50","[-26.53575791591385 -26.863242456508512]","[9.590068409331424 6.4474047827474745]","true"
"154","1500","0.1","1","2","1","Normal mean = 0","50","[-9.64626523430615 -21.59610620126023]","[-2.095229316333683 5.955228494467793]","false"
"165","1500","0.1","1","2","1","Normal mean = 0","50","[40.720740403053426 -13.846946872788966]","[11.61872074798079 -1.1132417834490214]","false"
"164","1500","0.1","1","2","1","Normal mean = 0","50","[18.63834999719945 -4.858330526352176]","[1.8905785721181185 -2.4185579281337004]","false"
"157","1500","0.1","1","2","1","Normal mean = 0","50","[-38.698724316806725 28.092799876123987]","[8.591717138251505 9.062522101000818]","true"
