"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting with Polling and Collusion.nlogo"
"QV-Collusion"
"08/14/2019 15:23:24:992 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","vote-portion-strategic","number-of-voters","proportion-of-strategic-voters","party-turtles-created-per-cycle","QV?","number-of-issues","utility-distribution","collusion-growth","[step]","[shapley-value] of party-turtles","mean [count link-neighbors] of party-turtles","[count link-neighbors] of party-turtles","count party-turtles","total-utility-gain","length map [x -> x > 0] total-utility-gain"
"4","0","10000","0","1","true","2","Normal mean = 0","1","11","[[0.33804045447199677 0.03603587372688203] [0.011209507493266858 -0.006026529132495616] [0.19341101277825595 0.0785733934728049] [-0.2185216289470012 0.04157154251966996] [0.3690624620425157 -0.012715105138630665] [-0.12179986769668738 0.07377985356280244] 0 [0.22517739682662058 0.2236653692696074] [-0.9789903605823055 0.5919199075237114] [0.3590287672224622 -0.0820847726747945] [0.9611015474186569 0.3842403596711056]]","6","[9 2 3 1 8 6 11 7 4 10 5]","11","[-7.446936295104505 8.602468751704482]","2"
"3","0","10000","0","1","true","2","Normal mean = 0","1","12","[[0.08396597952027915 0.033655545013676486] [-0.6274805907570635 0.17578895445135972] [0.06691401291118332 0.36254324727006093] [-0.3429523769193453 -0.156356580231232] 0 [-0.601491540511733 -0.005199091806644873] [0.06610763283105832 0.08162090005031356] [-0.07850721395931938 0.07472495787506919] [0.18692788652238118 0.25334941740076644] [-0.005496889306140865 -0.003964252660905145] [-0.07663363572323696 0.11458190672163121]]","6.818181818181818","[3 12 10 1 11 2 9 4 8 8 7]","11","[-9.190030394085543 42.97353328057687]","2"
"2","0","10000","0","1","true","2","Normal mean = 0","1","12","[[-0.2869261135354486 0.09408306089985427] [-0.09432207501040694 -0.024776677545548135] 0 [-0.02504681911189139 0.00998098818393563] [0.21604093439984137 -0.05371602259138453] [-0.6923585385452611 0.01831812356455297] [0.23934571924496428 -0.12886319532772608] [1.0597379019905329 -1.011160217983507] [0.5673000111221324 -0.3427981854389716] [-0.11355738289090637 -0.1524251972059691] [0.27065005174118467 -0.0812430162700213]]","6.818181818181818","[5 4 2 9 8 3 11 19 7 1 6]","11","[-6.1222656171717915 18.032415643205926]","2"
"1","0","10000","0","1","true","2","Normal mean = 0","1","12","[[-0.0063699069536677635 0.37532471921874905] [-0.2784697590144454 0.17628630348577412] [0.8609536167572804 -0.5215683475523932] [-0.4689883942203531 1.1222140374572531] [0.03622705322667474 -0.008147351550626784] [0.08931212164736926 -0.02864055016637446] [0.005520980753510113 0.01964659381084156] [-0.05349618816225615 0.022564274646605723] 0 [0.22476108325262256 0.08962312564766281] [0.2042544735497847 0.15275166981343538]]","6.7272727272727275","[10 6 3 5 2 4 11 9 7 1 16]","11","[12.117840075699274 -6.248016447169245]","2"
"4","0","10000","0","1","true","2","Normal mean = 0","1","12","[[0.4527236046985784 0.06001858003342361] 0 [-1.9150223564572837 0.5204736166854449] [0.16705578057171644 0.14867321912550097] [-0.06201652190645943 0.014395501294636811] [2.1831773172690987 0.21299589058389767] [0.6114890066377812 0.14200445611149265] [-0.6519702976950644 0.086555825746437] [0.07563825422831083 -0.012243115599525383] [0.3261573216360275 0.06110900699251619] [-0.21699627279084324 0.053059039405804295] [0.4656067704465223 -0.02497254721610234]]","6.5","[10 1 6 7 12 4 5 11 3 2 9 8]","12","[-7.446936295104553 8.602468751704484]","2"
"3","0","10000","0","1","true","2","Normal mean = 0","1","13","[[-0.003360752164766841 -0.002346561887372921] [-0.0589161587771395 0.27394045709638826] [-0.09686373581123882 0.10363007934011362] [-0.5096322505932225 0.22328979460264625] [-0.015408858995058028 -0.006054515855331433] 0 [-0.5493532997841211 0.2899901983154583] [-0.027663256471135156 0.1122187631527646] [0.06349007472114875 0.07339374670291436] [0.03464890896837328 0.0334318850861815] [0.254492215029731 0.26112324882854876] [-0.405913314098796 -0.19634047313034886]]","7.25","[2 11 8 12 1 5 9 13 10 3 9 4]","12","[-9.1900303940856 42.973533280576795]","2"
"2","0","10000","0","1","true","2","Normal mean = 0","1","13","[[0.07639308565208279 -0.056224993125474985] [-0.3857173782082314 -0.0902502120059149] [-0.5790863527351134 0.07118786177373483] [0.15983299938289944 -0.15439129407555605] [-0.005532190707653157 -0.04066276202543235] [0.9118490290009624 -1.1443927460209522] [-0.02640005106058781 0.015320900007301963] [0.3270667452362317 -0.16250517512790844] 0 [-0.009826049517748655 0.002441488494608577] [0.3760709687506955 -0.4485788804525332] [-0.23251616111943535 0.15475740524430143]]","7.25","[4 10 5 9 2 6 1 12 3 20 7 8]","12","[6.1222656171718715 18.032415643205923]","2"
"1","0","10000","0","1","true","2","Normal mean = 0","1","13","[[-0.06619737862289272 0.3594543102583142] [0.2694365520936159 0.05226039363484057] [-0.120188399611831 0.08785841281075821] [0.16243977557751849 -0.033942705093273115] [-0.7377964609017309 0.9872162086393984] 0 [0.1658975008704624 -0.05823242607367568] [0.019099637388919847 -0.00705842597621603] [0.8389580823636774 -0.17705048861348077] [0.16779581527437934 0.20081433321390546] [0.020511441822006225 0.008168547692778656] [-0.3182970189527719 0.18654897869401493]]","7.166666666666667","[11 10 4 8 17 1 5 12 7 6 2 3]","12","[12.117840075699284 -6.248016447169167]","2"
"4","0","10000","0","1","true","2","Normal mean = 0","1","13","[[-0.04239220899746351 0.04365188198917338] 0 [1.1576195714128144 0.3144309702999433] [-0.4223195204424352 0.1111643329131823] [0.030411623515769093 -0.014465685013469978] [1.2001689479528685 -0.11305798525454046] [0.40976996153006795 0.0381000869442615] [0.006862358461868919 0.005600815031207295] [-0.9789054992815573 0.5692467299604276] [0.5422539689613249 0.01760359391943436] [0.18209601148502194 0.2445338392381572] [0.24509232084437596 0.11531035186613031]]","7.5","[3 1 12 2 8 12 11 10 9 5 4 13]","12","[-7.446936295104478 8.602468751704523]","2"
"3","0","10000","0","1","true","2","Normal mean = 0","1","14","[[0.03763201266189469 0.014943846109485875] [-0.4466567998871059 -0.24652978702468617] [-0.022276275501485403 -0.01051673010971641] [0.015039305607078978 0.31073284524184797] [-0.19815943510888734 0.05750296491482225] [0.34092282220353676 0.32078377255179086] 0 [-0.01336666457233544 -0.008011690123896827] [-0.5214732223255771 0.18069748008577205] [-0.2679956628865661 0.03660764368971984] [-0.3985171049987893 0.4565976423963341] [0.11467902683857692 0.10917999480686427] [0.06064968850444783 0.03765349196501739]]","7.6923076923076925","[2 10 5 13 12 3 9 11 6 1 10 4 14]","13","[-9.190030394085577 42.97353328057674]","2"
